speaker,dialogue,author,title,comedia
Tello,"Verdad, por Dios, y que mostrarse quiso el ángel que guardaba el paraíso con espada de fuego.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,¡Qué necio estuve y ciego! Tal me tiene Belisa.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,"Fueron con tanta prisa que con razón te han dado ocasión al milagro imaginado; que, si en forma de espíritus bajaran, las alas de penachos coronaran, pero no los sombreros.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,Ángeles son tan nobles caballeros. Esta puerta me avisa del peligro que tengo. Mejor es ir a ver las de Belisa. Así la noche paso y entretengo.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,"Bien fuera, si te abriera.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,Ella me las abriera si me oyera.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,Una tapia muy baja el jardín tiene que no es para subir dificultosa.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,¿Podré yo entrar por ella?,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,Ser podría.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,"Pues vamos, antes que lo estorbe el día, que se traslada de zafir en rosa.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,Mejor fuera salir de tanto empeño con trasladarle de la cena al sueño.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,¿Guardaste las escopetas?,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Celia,"Ya, Belisa, están guardadas.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,Sin alma vengo.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Celia,"No es mucho, pues también fuiste sin alma y me has tenido sin ella, porque de locura tanta ¿qué pudiera prometerme que no fuera tu desgracia? ¿Estaba don Juan, por dicha, a la puerta de esa dama? Aunque dentro es lo más cierto, pues que mañana se casan.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,"Apenas, Celia, a la puerta de la dicha dama estaba -que «dicha» le viene bien pues que ninguna le falta-, cuando a su casa venía, cercado de gente y armas, cierto agraviado enemigo. Si yo no llego, le matan. Temieron las escopetas y, volviendo las espaldas, desistieron de la empresa.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Celia,"Heroica y dichosa hazaña, que fue, mirándolo bien, una locura bizarra.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,Reñísteme con lisonja de lo que fui temeraria.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Celia,"Acuéstate, que se ríe de tus cosas la mañana, cuyos celajes azules embisten rayos de plata.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
