speaker,dialogue,author,title,comedia
Enrico,"Ya estoy sentenciado a muerte; ya mi vida miserable tiene de plazo dos horas. Voz que mi daño causaste, ¿no dijiste que mi vida si me quedaba en la cárcel, sería cierta? Triste suerte; con razón debo culparte, pues en esta cárcel muero cuando pudiera librarme.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Portero,Dos padres de san Francisco están para confesarte aguardando afuera.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Bueno, por Dios que es gentil donaire: digan que se vuelvan luego a su convento los frailes, si no es que quieran saber a lo que estos hierros saben.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Portero,Advierte que has de morir.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Moriré sin confesarme, que no ha de pagar ninguno las penas que yo pasare.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Portero,¿Qué más hiciera un gentil?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Esto que le he dicho baste; que, por Dios, si me amohíno, que ha de llevar las señales de la cadena en el cuerpo.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Portero,No aguardo más.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Muy bien hace. ¿Qué cuenta daré yo a Dios de mi vida, ya que el trance último llega de mí? ¿Yo tengo de confesarme? Parece que es necedad: ¿quién podrá ahora acordarse de tantos pecados viejos? ¿Qué memoria habrá que baste a recorrer las ofensas que a Dios he hecho? Más vale no tratar de aquestas cosas; Dios es piadoso y es grande, su misericordia alabo, con ella podré salvarme.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,Advierte que has de morir y que ya aquestos dos padres están de aguardar cansados.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,¿Pues he dicho yo que aguarden?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,¿No crees en Dios?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Juro a Cristo que pienso que he de enojarme, y que en los padres y en ti he de vengar mis pesares. Demonios, ¿qué me queréis?",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,Antes pienso que son ángeles los que esto a decirte vienen.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"No acabes de amohinarme, que por Dios que de una coz te eche fuera de la cárcel.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,Yo te agradezco el cuidado.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,Vete fuera y no me canses.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,"Tú te vas, Enrico mío, al infierno como un padre.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Voz que por mi mal te oí en esa región del aire, ¿fuiste de algún enemigo que así pretendió vengarse? ¿No dijiste que a mi vida la importaba de la cárcel no hacer ausencia? Pues di: ¿cómo quieren ya sacarme a ajusticiar? Falsa fuiste; pero yo también cobarde, pues que me pude salir y no dar venganza a nadie. Sombra triste que piadosa la verdad me aconsejaste, vuelve otra vez y verás cómo con pecho arrogante salgo a tu tremenda voz de tantas escuridades. Gente suena, ya sin duda se acerca mi fin.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Portero,"Hablalde, Podrá ser que vuestras canas muevan tan duro diamante.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Anareto,"Enrico, querido hijo, puesto que en verte me aflijo de tantos yerros cargado, ver que pagues tu pecado me da sumo regocijo. Venturoso del que acá pagando sus culpas va con firme arrepentimiento, que es pintado este tormento si se compara al de allá. La cama, Enrico, dejé y arrimado a este bordón por quien me sustento en pie, vengo en aquesta ocasión.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"¡Ay, padre!",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Anareto,"No sé, Enrico, si aquese nombre será razón que me cuadre aunque mi rigor te asombre.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,¿Eso es palabra de padre?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Anareto,No es bien que padre me nombre un hijo que no cree en Dios.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Padre mío, ¿eso decís?",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Anareto,"No sois ya mi hijo vos, pues que mi ley no seguís; solos estamos los dos.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,No os entiendo.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Anareto,"Enrico, Enrico, a reprehenderos me aplico vuestro loco pensamiento, siendo la muerte instrumento que tan cierto os pronostico. Hoy os han de ajusticiar, y no os queréis confesar: buena cristiandad, por Dios, pues el mal es para vos, y para vos el pesar. Aqueso es tomar venganza de Dios; el poder alcanza del impirio cielo eterno. Enrico, ved que hay infierno para tan larga esperanza. Es el quererte vengar desa suerte pelear con un monte o una roca, pues cuando el brazo le toca es para el brazo el pesar. Es con dañoso desvelo, presumiendo darle enojos, pues que le cae en los ojos lo mismo que arroja al cielo. Hoy has de morir; advierte que ya está echada la suerte; confiesa a Dios tus pecados, y ansí siendo perdonados será vida lo que es muerte. Si quieres mi hijo ser lo que te digo has de hacer; si no -de pesar me aflijo-, ni te has de llamar mi hijo ni yo te he de conocer.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Bueno está, padre querido, que más el alma ha sentido -buen testigo dello es Dios- el pesar que tenéis vos que el mal que espero afligido. Confieso, padre, que erré; pero yo confesaré mis pecados y después besaré a todos los pies para mostraros mi fe. Basta que vos lo mandéis, padre mío de mis ojos.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Anareto,Pues ya mi hijo seréis.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,No os quisiera dar enojos.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Anareto,Vamos porque os confeséis.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"¡Oh, cuánto siento el dejaros!",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Anareto,"¡Oh, cuánto siento el perderos!",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"¡Ay ojos, espejos claros, antes hermosos luceros, pero ya de luz avaros!",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Anareto,"Vamos, hijo.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,A morir voy; todo el valor he perdido.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Anareto,"Sin juicio y sin alma estoy,",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Aguardad, padre querido.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Anareto,¡Qué desdichado que soy!,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
