speaker,dialogue,author,title,comedia
Paulo,"Enrico, si desta suerte yo tengo de acompañarte, y si te has de condenar, contigo me has de llevar, que nunca pienso dejarte. Palabra del ángel fue, tu camino seguiré; pues cuando Dios, juez eterno, nos condenare al infierno, ya habemos hecho por qué.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,¿Qué voz es ésta que suena?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Bandolero,"2.º La gran multitud, señor, desos robles nos impide ver dónde viene la voz.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,"Subid los dos por el monte, y ved si es algún pastor el que canta este romance.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Bandolero,2.º A verlo vamos los dos.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,"Baja, pastorcillo; que ya estaba, vive Dios, confuso con tus razones, admirado con tu voz. ¿Quién te enseñó ese romance, que le escucho con temor, pues parece que en ti falta mi propia imaginación?",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pastor,"Este romance que he dicho Dios, señor, me le enseñó; o la Iglesia, su esposa, a quien en la tierra dio poder suyo.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,Bien dijiste.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pastor,"Advierte que creo en Dios a pies juntillas, y sé, aunque rústico pastor, todos los diez mandamientos, preceptos que Dios nos dio.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,¿Y Dios ha de perdonar a un hombre que le ofendió con obras y con palabras y pensamientos?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pastor,"¿Pues no? Aunque sus ofensas sean más que átomos del Sol, y que estrellas tiene el cielo, y rayos la Luna dio, y peces el mar salado en sus cóncavos guardó, esta es su misericordia, que con decirle al Señor «pequé, pequé» muchas veces, le recibe al pecador en sus amorosos brazos, que en fin hace como Dios. Porque si no fuera aquesto, cuando a los hombres crió no los criara sujetos a su frágil condición. Porque si Dios, sumo bien, de nada al hombre formó para ofrecerle su gloria, no fuera ningún blasón en su majestad divina dalle aquella imperfección. Diole Dios libre albedrío, y fragilidad le dio al cuerpo, y al alma luego dio potestad con acción de pedir misericordia, que a ninguno le negó. De modo que, si en pecando el hombre, el justo rigor procediera contra él, fuera el número menor de los que en el sacro alcázar están contemplando a Dios. La fragilidad del cuerpo es grande, que en una acción, en un mirar solamente con deshonesta afición, se ofende a Dios; dese modo, porque este triste ofensor, con la imperfección que tuvo, le ofende una vez o dos, ¿se había de condenar? No, señor, aqueso no; que es Dios misericordioso, y estima al más pecador, porque todos igualmente le costaron el sudor que sabéis, y aquella sangre que liberal derramó, haciendo un mar a su cuerpo, que amoroso dividió en cinco sangrientos ríos; que su espíritu formó nueve meses en el vientre de aquella que mereció ser virgen cuando fue madre y el claro oriente del Sol que como clara vidriera sin que la rompiese entró. Y si os guiáis por ejemplo, decid: ¿no fue pecador Pedro, y mereció después ser de las almas pastor? Mateo, su coronista, ¿no fue también su ofensor y luego no fue su apóstol, y tan gran cargo le dio? ¿No fue pecador Francisco? ¿Luego no le perdonó y a modo de honrosa empresa, en su cuerpo le imprimió aquellas llagas divinas que le dieron tanto honor, dignándole de tener tan excelente blasón? ¿La pública pecadora Palestina no llamó a Magdalena, y fue santa por su santa conversión? Mil ejemplos os dijera a estar despacio, señor, mas mi ganado me aguarda, y ha mucho que ausente estoy.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,"Tente, pastor, no te vayas.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pastor,"No puedo tenerme, no, que ando por aquestos valles recogiendo con amor una ovejuela perdida que del rebaño huyó. Y esta corona que veis hacerme con tanto amor es para ella, si parece, porque hacer me la mandó el mayoral, que la estima del modo que le costó. El que a Dios tiene ofendido, pídale perdón a Dios, porque es señor tan piadoso que a ninguno le negó.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,"Aguarda, pastor.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pastor,No puedo.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,Por fuerza te tendré yo.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pastor,Será detenerme a mí parar en su curso al Sol.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,"Este pastor me ha avisado en su forma peregrina, no humana sino divina, que tengo a Dios enojado por haber desconfiado de su piedad, claro está, y con ejemplos me da a entender piadosamente que el hombre que se arrepiente perdón en Dios hallará. Pues si Enrico es pecador, ¿no puede también hallar perdón? Ya vengo a pensar que ha sido grande mi error. ¿Mas cómo dará el Señor perdón a quien tiene nombre, ay de mí, del más mal hombre que en este mundo ha nacido? Pastor que de mí has huido, no te espantes que me asombre. Si él tuviera algún intento de tal vez arrepentirse, lo que por engaño siento, bien pudiera resistirse y yo viviera contento. ¿Por qué, pastor, queréis vos que halle su remedio medio? Alma, ya no hay más remedio que el condenarnos los dos.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pedrisco,"Escucha, Paulo, y sabrás, aunque dello ajeno estás y lo atribuyas a engaño, el suceso más extraño que tú habrás visto jamás. En esa verde ribera, de tantas fieras aprisco, donde el cristal reverbera cuando el afligido risco su tremendo golpe espera, después de dejar colgados aquellos tres desdichados, estábamos Celio y yo, cuando una voz que se oyó nos dejó medio turbados. «Que me ahogo», dijo y vimos cuando la vista tendimos cómo en el mar hay tormenta, y esta, de sangre cubierta, para anegallos bramaba. Ya en las estrellas los clava, ya en su centro los avienta, en los cristales no helados las dos cabezas se vían de aquestos dos desdichados, y las olas parecían ser tablas de degollados. Llegaron al fin, mostrando el valor que significo, mas por no estarte cansando has de saber que es Enrico el uno.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,Estoylo dudando.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pedrisco,"No lo dudes, pues yo llego a decirlo, y no estoy ciego.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,¿Vístele tú?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pedrisco,Vile yo.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,¿Qué hizo al salir?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pedrisco,Echó un por vida y un reniego. Mira qué gracias le daba a Dios que ansí le libraba.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,"Y dirá ahora el pastor que le ha de dar el Señor perdón. El juicio me acaba. Mas poco puedo perder, pues aquí le llego a ver, en proballe la intención.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pedrisco,Ya le trae tu escuadrón.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,Pues oye lo que has de hacer.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,¿Dónde me lleváis ansí?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Bandolero,"1.º El capitán está aquí, que la respuesta os dará.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,Haz esto.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pedrisco,Todo se hará.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Bandolero,1.º ¿Pues vase el capitán?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pedrisco,"Sí. ¿Dónde iban vuesas mercedes, que en tan gran peligro dieron como es caminar por agua? ¿No responden?",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,Al infierno.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
